base_model,no_bucket_pnl_1c,with_bucket_pnl_1c,delta_pnl_1c,artifact_flag
market_transition_nw_kill_logistic,-0.47000000000000003,1.7399999999999995,2.2099999999999995,True
market_transition_catchup_logistic,-0.5500000000000005,1.3699999999999997,1.9200000000000002,True
market_nw_logistic,1.0499999999999998,1.8299999999999998,0.78,False
market_transition_nw_logistic,0.10999999999999999,0.4899999999999997,0.3799999999999997,False
market_only_logistic,-0.5299999999999999,-0.44000000000000006,0.08999999999999986,False
market_gettoplive_logistic,2.2699999999999996,2.2799999999999994,0.009999999999999787,False
market_score_logistic,0.8099999999999995,0.5099999999999996,-0.29999999999999993,False
market_structure_logistic,-1.1600000000000001,-1.6600000000000001,-0.5,False
market_nw_kill_momentum_logistic,5.01,4.46,-0.5499999999999998,False
market_transition_kill_logistic,0.7900000000000001,0.10999999999999993,-0.6800000000000002,False
market_kill_momentum_logistic,0.6999999999999994,-0.1900000000000004,-0.8899999999999998,False
market_momentum_logistic,4.3999999999999995,3.05,-1.3499999999999996,False
