model_name,trades,matches,observed_pnl_1c,bootstrap_mean_pnl_1c,bootstrap_p05_pnl_1c,bootstrap_p50_pnl_1c,bootstrap_p95_pnl_1c,prob_positive_pnl_1c,bootstrap_iterations
market_nw_kill_momentum_logistic,19,16,5.01,5.02698,2.3094999999999994,5.0,7.71,0.9985,2000
market_momentum_logistic,24,18,4.3999999999999995,4.426454999999999,2.12,4.37,6.861000000000001,0.9985,2000
market_gettoplive_logistic,20,16,2.2699999999999996,2.2458849999999995,-0.6310000000000002,2.28,5.210499999999999,0.902,2000
market_nw_logistic,18,16,1.0499999999999998,1.0594599999999996,-1.86,1.0999999999999996,3.8704999999999994,0.7255,2000
market_score_logistic,28,21,0.8100000000000004,0.8837599999999995,-2.18,0.9399999999999993,3.7204999999999995,0.693,2000
market_transition_kill_logistic,25,16,0.79,0.8019700000000001,-0.8504999999999998,0.82,2.3899999999999997,0.789,2000
market_kill_momentum_logistic,25,18,0.6999999999999995,0.7513399999999995,-1.4105000000000005,0.7699999999999992,2.8904999999999994,0.7065,2000
market_transition_nw_kill_logistic,28,19,-0.4700000000000002,-0.46685500000000024,-2.5005000000000006,-0.43000000000000027,1.47,0.3555,2000
market_transition_catchup_logistic,28,18,-0.5500000000000005,-0.5233950000000004,-2.47,-0.5250000000000004,1.3409999999999984,0.323,2000
