model_name,with_bucket,raw_trades,canonical_exposures,win_rate,avg_ask,pnl_raw,pnl_1c,pnl_2c,folds_with_trades,folds_positive_1c,lockbox_pnl_1c,candidate_status
market_nw_kill_momentum_logistic,False,19,,0.6892857142857143,0.44539285714285715,5.2,5.01,4.82,4,4,1.54,candidate
market_momentum_logistic,False,24,,0.7203174603174604,0.48473333333333335,4.640000000000001,4.3999999999999995,4.16,5,5,2.3200000000000003,candidate
market_gettoplive_logistic,False,20,,0.6642857142857143,0.5410238095238095,2.4699999999999998,2.2699999999999996,2.0699999999999994,4,3,2.8999999999999995,candidate
market_nw_logistic,False,18,,0.6333333333333333,0.55925,1.23,1.0499999999999998,0.8699999999999997,4,3,2.71,candidate
market_score_logistic,False,28,,0.5777777777777777,0.5590277777777778,1.0899999999999999,0.8099999999999995,0.5299999999999994,5,3,1.06,candidate
market_transition_kill_logistic,False,25,,0.6771428571428572,0.5397428571428572,1.0400000000000003,0.7900000000000001,0.5399999999999999,5,4,0.33000000000000007,candidate
market_kill_momentum_logistic,False,25,,0.5416666666666667,0.5098958333333333,0.9499999999999996,0.6999999999999994,0.4499999999999994,4,2,0.22999999999999987,research_only
market_transition_nw_logistic,False,30,,0.5938888888888889,0.5542111111111111,0.41000000000000003,0.10999999999999999,-0.19000000000000028,5,2,2.0599999999999996,artifact_risk
market_transition_nw_kill_logistic,False,28,,0.5438888888888889,0.5137944444444444,-0.19000000000000028,-0.47000000000000003,-0.7500000000000001,5,3,1.0299999999999998,artifact_risk
market_only_logistic,False,8,,0.625,0.68125,-0.44999999999999984,-0.5299999999999999,-0.61,1,0,0.0,reject
market_transition_catchup_logistic,False,28,,0.5688888888888889,0.5462111111111111,-0.2700000000000002,-0.5500000000000005,-0.8300000000000005,5,3,2.1100000000000003,artifact_risk
market_structure_logistic,False,10,,0.47916666666666663,0.5989583333333334,-1.06,-1.1600000000000001,-1.2600000000000002,4,0,1.01,reject
market_nw_kill_momentum_logistic__with_bucket,True,20,,0.6476190476190475,0.44557142857142856,4.66,4.46,4.26,4,3,2.7,candidate
market_momentum_logistic__with_bucket,True,25,,0.6944444444444444,0.5112222222222222,3.3,3.05,2.7999999999999994,5,5,3.3099999999999996,candidate
market_gettoplive_logistic__with_bucket,True,20,,0.6642857142857143,0.5437619047619048,2.48,2.2799999999999994,2.079999999999999,4,3,2.8200000000000003,candidate
market_nw_logistic__with_bucket,True,22,,0.6416666666666666,0.5365,2.05,1.8299999999999998,1.6099999999999997,4,4,1.6600000000000001,candidate
market_transition_nw_kill_logistic__with_bucket,True,36,,0.6416666666666666,0.5531944444444444,2.0999999999999996,1.7399999999999995,1.3799999999999994,5,4,2.42,candidate
market_transition_catchup_logistic__with_bucket,True,32,,0.6535714285714286,0.5759285714285715,1.69,1.3699999999999997,1.0499999999999994,5,4,1.61,candidate
market_score_logistic__with_bucket,True,27,,0.5773809523809523,0.5417619047619048,0.7799999999999998,0.5099999999999996,0.23999999999999932,5,3,0.5799999999999998,candidate
market_transition_nw_logistic__with_bucket,True,29,,0.6333333333333333,0.5666111111111112,0.78,0.4899999999999997,0.19999999999999948,5,3,1.46,candidate
market_transition_kill_logistic__with_bucket,True,24,,0.5961904761904762,0.5515809523809524,0.3499999999999999,0.10999999999999993,-0.13000000000000017,5,4,0.56,reject
market_kill_momentum_logistic__with_bucket,True,22,,0.54375,0.5416666666666666,0.029999999999999805,-0.1900000000000004,-0.4100000000000005,4,1,0.48000000000000004,reject
market_only_logistic__with_bucket,True,7,,0.7142857142857143,0.7671428571428572,-0.37,-0.44000000000000006,-0.5100000000000001,1,0,0.0,reject
market_structure_logistic__with_bucket,True,12,,0.4375,0.5700000000000001,-1.5400000000000003,-1.6600000000000001,-1.7800000000000002,4,0,0.49999999999999994,reject
