model_name,threshold,folds,total_trades,folds_with_trades,folds_positive_1c,folds_positive_2c,total_pnl,total_pnl_slip_1c,total_pnl_slip_2c
market_gettoplive_logistic,0.1,5,24,5,5,5,3.74,3.5,3.26
market_gettoplive_logistic,0.12,5,18,5,4,4,3.21,3.0300000000000002,2.8499999999999996
market_gettoplive_logistic,0.15,5,15,5,4,4,3.02,2.87,2.7199999999999998
market_gettoplive_logistic,0.08,5,29,5,4,4,2.0599999999999996,1.7699999999999996,1.479999999999999
market_gettoplive_logistic,0.2,5,8,4,2,2,0.43000000000000005,0.35,0.2699999999999999
market_gettoplive_logistic,0.05,5,42,5,2,2,-0.5300000000000002,-0.9500000000000006,-1.370000000000001
market_gettoplive_logistic,0.02,5,63,5,1,1,-1.6299999999999994,-2.2600000000000002,-2.8900000000000006
market_kill_momentum_logistic,0.02,5,44,5,3,2,0.5599999999999996,0.11999999999999952,-0.32000000000000123
market_kill_momentum_logistic,0.12,5,0,0,0,0,0.0,0.0,0.0
market_kill_momentum_logistic,0.15,5,0,0,0,0,0.0,0.0,0.0
market_kill_momentum_logistic,0.2,5,0,0,0,0,0.0,0.0,0.0
market_kill_momentum_logistic,0.1,5,2,1,0,0,-0.78,-0.8,-0.8200000000000001
market_kill_momentum_logistic,0.05,5,6,2,0,0,-0.8099999999999998,-0.8699999999999999,-0.9299999999999999
market_kill_momentum_logistic,0.08,5,3,1,0,0,-0.88,-0.91,-0.94
market_momentum_logistic,0.12,5,21,5,5,5,3.6100000000000003,3.4,3.1899999999999995
market_momentum_logistic,0.1,5,25,5,5,5,3.18,2.9299999999999997,2.6799999999999997
market_momentum_logistic,0.05,5,40,5,4,4,2.5599999999999996,2.1599999999999993,1.7599999999999991
market_momentum_logistic,0.08,5,30,5,5,5,2.22,1.9199999999999997,1.6199999999999992
market_momentum_logistic,0.15,5,16,4,4,4,1.8,1.64,1.4799999999999998
market_momentum_logistic,0.2,5,8,4,2,2,0.6400000000000001,0.56,0.48
market_momentum_logistic,0.02,5,58,5,2,2,0.38000000000000017,-0.2000000000000003,-0.7800000000000007
market_nw_kill_momentum_logistic,0.1,5,24,5,5,5,4.029999999999999,3.79,3.5499999999999994
market_nw_kill_momentum_logistic,0.12,5,24,5,5,5,3.5500000000000003,3.3099999999999996,3.07
market_nw_kill_momentum_logistic,0.08,5,32,5,5,4,2.7600000000000002,2.44,2.1199999999999997
market_nw_kill_momentum_logistic,0.15,5,19,4,3,3,1.0899999999999999,0.8999999999999997,0.7099999999999995
market_nw_kill_momentum_logistic,0.2,5,7,4,2,2,0.36000000000000004,0.29,0.21999999999999992
market_nw_kill_momentum_logistic,0.05,5,44,5,2,2,0.7300000000000003,0.2899999999999999,-0.15000000000000047
market_nw_kill_momentum_logistic,0.02,5,70,5,2,1,5.551115123125783e-17,-0.7000000000000004,-1.4000000000000008
market_nw_logistic,0.12,5,12,5,5,5,3.3000000000000003,3.18,3.06
market_nw_logistic,0.1,5,16,5,5,5,3.14,2.98,2.82
market_nw_logistic,0.15,5,10,5,5,5,2.6900000000000004,2.5900000000000003,2.49
market_nw_logistic,0.05,5,32,5,3,3,1.9800000000000004,1.6600000000000001,1.3399999999999999
market_nw_logistic,0.08,5,22,5,4,4,1.7300000000000002,1.51,1.2899999999999998
market_nw_logistic,0.2,5,3,3,1,1,0.34,0.31,0.28
market_nw_logistic,0.02,5,61,5,1,0,-1.94,-2.5500000000000007,-3.160000000000001
market_score_logistic,0.05,5,9,5,4,4,1.9300000000000002,1.84,1.75
market_score_logistic,0.08,5,0,0,0,0,0.0,0.0,0.0
market_score_logistic,0.1,5,0,0,0,0,0.0,0.0,0.0
market_score_logistic,0.12,5,0,0,0,0,0.0,0.0,0.0
market_score_logistic,0.15,5,0,0,0,0,0.0,0.0,0.0
market_score_logistic,0.2,5,0,0,0,0,0.0,0.0,0.0
market_score_logistic,0.02,5,46,5,1,0,-2.04,-2.5000000000000004,-2.960000000000001
market_transition_catchup_logistic,0.08,5,19,3,2,2,0.17999999999999983,-0.010000000000000342,-0.20000000000000062
market_transition_catchup_logistic,0.05,5,33,5,2,2,0.2699999999999998,-0.0600000000000005,-0.3900000000000008
market_transition_catchup_logistic,0.2,5,1,1,0,0,-0.25,-0.26,-0.27
market_transition_catchup_logistic,0.15,5,5,2,0,0,-0.7700000000000001,-0.8200000000000002,-0.8700000000000002
market_transition_catchup_logistic,0.12,5,10,2,1,1,-0.7500000000000001,-0.8500000000000002,-0.9500000000000003
market_transition_catchup_logistic,0.1,5,16,2,0,0,-0.9000000000000001,-1.0600000000000003,-1.2200000000000004
market_transition_catchup_logistic,0.02,5,63,5,2,2,-0.4500000000000002,-1.0800000000000007,-1.710000000000001
market_transition_kill_logistic,0.2,5,0,0,0,0,0.0,0.0,0.0
market_transition_kill_logistic,0.15,5,4,2,1,1,-0.5800000000000001,-0.6200000000000001,-0.6600000000000001
market_transition_kill_logistic,0.12,5,6,2,0,0,-0.9500000000000001,-1.0100000000000002,-1.0700000000000003
market_transition_kill_logistic,0.08,5,11,2,0,0,-1.46,-1.5700000000000003,-1.6800000000000002
market_transition_kill_logistic,0.1,5,11,2,0,0,-1.46,-1.5700000000000003,-1.6800000000000002
market_transition_kill_logistic,0.05,5,20,5,0,0,-2.61,-2.81,-3.0100000000000002
market_transition_kill_logistic,0.02,5,60,5,0,0,-3.579999999999999,-4.18,-4.780000000000001
market_transition_nw_kill_logistic,0.08,5,21,4,2,2,0.44999999999999984,0.23999999999999966,0.02999999999999947
market_transition_nw_kill_logistic,0.2,5,1,1,0,0,-0.25,-0.26,-0.27
market_transition_nw_kill_logistic,0.05,5,35,5,1,1,-0.4,-0.7500000000000003,-1.100000000000001
market_transition_nw_kill_logistic,0.15,5,5,2,0,0,-0.7800000000000001,-0.8300000000000002,-0.8800000000000002
market_transition_nw_kill_logistic,0.12,5,10,2,1,1,-0.7500000000000001,-0.8500000000000002,-0.9500000000000003
market_transition_nw_kill_logistic,0.1,5,15,2,0,0,-1.1,-1.25,-1.4000000000000004
market_transition_nw_kill_logistic,0.02,5,63,5,0,0,-2.5199999999999996,-3.1500000000000004,-3.7800000000000007
