model_name,raw_trade_count,canonical_trade_count,duplicate_exposures,raw_pnl_1c,canonical_pnl_1c,pnl_removed_by_dedupe
market_momentum_logistic__with_bucket,193,25,168,26.5,3.05,23.45
market_nw_kill_momentum_logistic,132,19,113,26.170000000000005,5.01,21.160000000000004
market_momentum_logistic,196,24,172,23.950000000000003,4.3999999999999995,19.550000000000004
market_kill_momentum_logistic,175,25,150,18.99,0.6999999999999996,18.29
market_nw_kill_momentum_logistic__with_bucket,128,20,108,22.169999999999998,4.460000000000001,17.709999999999997
market_only_logistic,89,8,81,13.690000000000008,-0.5299999999999999,14.220000000000008
market_gettoplive_logistic,145,20,125,15.230000000000006,2.2699999999999996,12.960000000000006
market_gettoplive_logistic__with_bucket,133,20,113,13.040000000000008,2.28,10.760000000000009
market_score_logistic,208,28,180,10.290000000000006,0.8099999999999995,9.480000000000008
market_nw_logistic,162,18,144,8.840000000000002,1.0499999999999998,7.790000000000002
market_transition_nw_logistic,81,30,51,4.969999999999998,0.10999999999999965,4.8599999999999985
market_score_logistic__with_bucket,156,27,129,5.339999999999995,0.5099999999999995,4.829999999999996
market_structure_logistic,39,10,29,3.299999999999998,-1.1600000000000001,4.459999999999998
market_transition_nw_kill_logistic,73,28,45,2.9599999999999995,-0.4700000000000002,3.4299999999999997
market_structure_logistic__with_bucket,60,12,48,0.919999999999998,-1.6600000000000001,2.5799999999999983
market_nw_logistic__with_bucket,192,22,170,3.8599999999999945,1.83,2.0299999999999945
market_transition_nw_logistic__with_bucket,74,29,45,2.3399999999999967,0.48999999999999977,1.849999999999997
market_transition_kill_logistic,70,25,45,2.5399999999999996,0.7900000000000001,1.7499999999999996
market_only_logistic__with_bucket,58,7,51,0.9799999999999978,-0.44000000000000006,1.4199999999999977
market_transition_catchup_logistic,79,28,51,0.71,-0.5500000000000005,1.2600000000000005
market_transition_catchup_logistic__with_bucket,102,32,70,2.5799999999999956,1.3699999999999994,1.2099999999999962
market_kill_momentum_logistic__with_bucket,144,22,122,0.3799999999999971,-0.1900000000000004,0.5699999999999975
market_transition_nw_kill_logistic__with_bucket,103,36,67,2.269999999999997,1.7399999999999995,0.5299999999999974
market_transition_kill_logistic__with_bucket,74,24,50,0.0599999999999995,0.10999999999999993,-0.05000000000000043
