canonical_exposure_id,label_market_bucket,market_id,token_id,ask,bid,spread,ask_size,selected_best_instrument
8834230023::3::NO,MAP_WINNER,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,73568959922747558805079044463449051623199298803530124387342134654406072201915,0.56,0.52,0.040000000000000036,60.52,True
8834230023::3::NO,MATCH_WINNER_GAME3_PROXY,2408470,9176751882301236225673094124537622527985496208470188479749452449693522539092,0.73,0.63,0.09999999999999998,140.0,False
8834230023::3::YES,MATCH_WINNER_GAME3_PROXY,2408470,81296766769947421544680632256552079007975059632277084577533151576209603864045,0.12,0.1,0.01999999999999999,26.02,True
8834230023::3::YES,MAP_WINNER,0x212000bffae05b954a6b51f449cf966cc280051a41323ae2a37a01cf1cd477b2,16785107449700880815706352937044082999392425238461119960765694408336417873292,0.18,0.17,0.009999999999999981,167.0,False
8834244800::3::YES,MATCH_WINNER_GAME3_PROXY,2402192,82406454957514414328807848866614919031814419473870703115492634362571178841613,0.05,0.001,0.049,562.03,True
8834244800::3::YES,MAP_WINNER,2402194,59807414032603264088720560731790929159549435986005858362006116874643697023669,0.1,0.03,0.07,294.76,False
8836692392::3::NO,MAP_WINNER,2420884,22797433666108746834907200879055638156876884805544763838220182369233961483157,0.05,0.04,0.010000000000000002,592.41,True
8836692392::3::NO,MATCH_WINNER_GAME3_PROXY,2420882,91159373767570541536328664217068215835423177040492899295688568849820026330871,0.4,0.35,0.050000000000000044,68.0,False
8836692392::3::YES,MAP_WINNER,2420884,34672525841417990125059210306302220317113308019015543481245926621867083936846,0.38,0.37,0.010000000000000009,40.0,True
8836692392::3::YES,MATCH_WINNER_GAME3_PROXY,2420882,96305714402681626329275002831100162623035732904802033625396635740637386079672,0.61,0.6,0.010000000000000009,68.0,False
8837052943::3::NO,MATCH_WINNER_GAME3_PROXY,2420911,77062266834471741867572148726620690396754895414397466242454826641314676167370,0.23,0.19,0.04000000000000001,25.0,True
8837052943::3::NO,MAP_WINNER,2420913,101470685303119067843997333499307762684741418647975160684738685845305569089404,0.37,0.02,0.35,116.05,False
8837052943::3::YES,MAP_WINNER,2420913,66415164324127871451042729107907870097714522612641153029573064677702242246561,0.05,0.03,0.020000000000000004,500.0,True
8837052943::3::YES,MATCH_WINNER_GAME3_PROXY,2420911,108933318677867629109484722035165179116051394277566385984138895636211643040840,0.54,0.46,0.08000000000000002,25.0,False
8837192214::3::NO,MATCH_WINNER_GAME3_PROXY,2426301,41412175641884587374971280421289895864406552874618535820380433367086635375205,0.89,0.69,0.20000000000000007,60.0,True
8837192214::3::NO,MAP_WINNER,2426302,94596934990854037138894408274579616890525294268382213348636642741920981062571,0.93,0.87,0.06000000000000005,41.0,False
8837192214::3::YES,MAP_WINNER,2426302,80140553959882251688244395934526774913020547499607678997483904446689213530561,0.07,0.06,0.010000000000000009,45.44,True
8837192214::3::YES,MATCH_WINNER_GAME3_PROXY,2426301,115742605798825810671140351705402892864718236624626649822385172810798206734026,0.31,0.09,0.22,157.0,False
8837288943::3::NO,MAP_WINNER,2426303,19216887299505585674758455814880137926798501231479078552150318524117678595995,0.44,0.36,0.08000000000000002,102.37,True
8837288943::3::NO,MATCH_WINNER_GAME3_PROXY,2426301,41412175641884587374971280421289895864406552874618535820380433367086635375205,0.84,0.81,0.029999999999999916,48.0,False
8837288943::3::YES,MATCH_WINNER_GAME3_PROXY,2426301,115742605798825810671140351705402892864718236624626649822385172810798206734026,0.06,0.05,0.009999999999999995,52.84,True
8837288943::3::YES,MAP_WINNER,2426303,47160252683316828213903016406685913365776300850613902200017668743968605839996,0.12,0.1,0.01999999999999999,149.75,False
8837692542::3::NO,MATCH_WINNER_GAME3_PROXY,2430771,5631655732638403070134305235151782617674329898630171778054059777857154425400,0.75,0.69,0.06000000000000005,70.68,True
8837692542::3::NO,MAP_WINNER,2430740,109466480770780465997672846522195947979403816899030046645408970348039278261606,0.94,0.78,0.15999999999999992,126.0,False
8837692542::3::YES,MAP_WINNER,2430740,82853064530961343967623105942543527553268300883486602195131242630567411784034,0.14,0.02,0.12000000000000001,53.0,True
8837692542::3::YES,MATCH_WINNER_GAME3_PROXY,2430771,63794368777536286964178043817181114800605311439022596268639379908568961080084,0.19,0.14,0.04999999999999999,26.18,False
8837724891::3::YES,MATCH_WINNER_GAME3_PROXY,2430771,63794368777536286964178043817181114800605311439022596268639379908568961080084,0.05,0.03,0.020000000000000004,71.05,True
8837724891::3::YES,MAP_WINNER,2430741,68497140251365106050261319760550442600136868495682314364549356216069081160612,0.17,0.02,0.15000000000000002,288.0,False
